id,state,abbr,disabilityRate,limitedActivityRate,asthmaRate,collegeEducationRate,homeOwnRate,age55to64Rate
1,Alabama,AL,20,27.9,14.6,29.6,72.3,16.9
2,Alaska,AK,13.9,19.3,12.4,36,67.5,17.3
4,Arizona,AZ,15.7,21.6,14.3,34.1,66.4,15.6
5,Arkansas,AR,20.8,27,13.3,29,69.4,16.4
6,California,CA,12.9,19.9,12.7,29.4,58,15.3
8,Colorado,CO,13,20.3,12.2,30.2,67.7,16.4
9,Connecticut,CT,13.2,19.8,14.1,24.5,70.5,17.3
10,Delaware,DE,14.3,21,14.4,27.1,74.3,17.1
11,District of Columbia,DC,13.7,15.9,17.2,17,44.8,12.7
12,Florida,FL,15.8,22.4,12.2,30.3,68.7,16.3
13,Georgia,GA,15.5,20.4,13.8,28.1,67.3,15.6
15,Hawaii,HI,14.3,15.2,16.2,31.7,62.3,16.8
16,Idaho,ID,15.8,20.4,12.3,36.8,71.7,16.6
17,Illinois,IL,13.3,17.6,14,28.7,70.6,16.4
18,Indiana,IN,16.9,22.2,14.6,29.5,73.2,16.7
19,Iowa,IA,14.1,19.3,13.2,32.7,74.6,17.1
20,Kansas,KS,15.9,20.1,13.6,32.2,70.6,16.7
21,Kentucky,KY,21.4,27.6,16.9,28.3,71.3,17.1
22,Louisiana,LA,17.9,22.7,12.5,26.8,70.4,16.7
23,Maine,ME,18.6,24.4,16.4,30,75.2,19.3
24,Maryland,MD,12.7,17.3,13.5,25.6,70.7,16.6
25,Massachusetts,MA,13.9,22,17.6,23.5,65.9,16.6
26,Michigan,MI,17.3,22.5,15.4,32.8,75.2,17.7
27,Minnesota,MN,12.9,17,11.8,32.6,75.7,17.1
28,Mississippi,MS,20.8,24.3,12.6,31.6,71.9,16.6
29,Missouri,MO,17.8,23.2,14.5,29.9,71.7,17
30,Montana,MT,16.1,23.1,13.4,32.6,71.1,19
31,Nebraska,NE,14.1,18.3,12.2,33.5,70.5,16.7
32,Nevada,NV,16.2,20.2,12.3,33.8,59.5,15.9
33,New Hampshire,NH,14.3,19.7,14.1,28.6,75.3,18.7
34,New Jersey,NJ,12.6,16.3,12.4,23.4,68.3,16.7
35,New Mexico,NM,18.5,23.4,14.4,31.4,72,17.1
36,New York,NY,13.7,19.3,15,24.7,57.3,16.1
37,North Carolina,NC,16.8,21.5,11.5,31,68.7,16.3
38,North Dakota,ND,13.1,16.2,12.2,36.8,69,16.4
39,Ohio,OH,16.7,22.4,15,28.8,70.9,17.6
40,Oklahoma,OK,19.9,25.9,14.3,31.4,69.9,16.3
41,Oregon,OR,18.1,25.6,16.6,34.6,64.2,17.4
42,Pennsylvania,PA,16.3,21.9,14.3,24.1,73.5,17.6
44,Rhode Island,RI,16.8,20.1,15.2,26.6,64.6,16.8
45,South Carolina,SC,18,24.3,13.1,29.4,71.1,17
46,South Dakota,SD,15.1,19.5,11.2,33.2,70.6,17.4
47,Tennessee,TN,19.1,25.9,14.4,27.1,70.6,16.7
48,Texas,TX,14.5,17,11.1,29.2,67,15
49,Utah,UT,12.3,17.9,13.4,37.3,72.1,13.6
50,Vermont,VT,17.2,21.8,16.5,26.4,74.2,19.1
51,Virginia,VA,14,18.6,12.7,27,69.6,16.3
53,Washington,WA,15.8,23.9,14.8,34.4,66.3,16.8
54,West Virginia,WV,24,29.1,14.5,24.9,76.4,18.4
55,Wisconsin,WI,14.3,20.2,12.7,31,71.1,17.5
56,Wyoming,WY,15.2,19.9,12,38.5,71.9,18.3
72,Puerto Rico,PR,25.1,19.5,17.1,21.5,71,15.6
